soubor,nazev,kategorie,subject_en
start-rakety.png,Start rakety,adventure,a rocket lifting off in smoke and flame
velbloud.png,Velbloud v poušti,animals,a camel on a desert dune
kovar.png,Kovář,people,a blacksmith hammering glowing iron at the forge
vanoce.png,Vánoce u krbu,family,a decorated Christmas tree by a fireplace with presents
krabice-hra.png,Hra v krabici,family,children playing a board game on the floor
papousek.png,Papoušek v džungli,animals,a colourful parrot on a jungle branch
brankar.png,Hokejový brankář,people,an ice hockey goalie catching a puck
gondola.png,Gondola,places,a gondola on a Venetian canal
morska-panna.png,Mořská panna,fantasy,a mermaid sitting on a rock above the waves
parni-vlak.png,Parní vlak,adventure,a steam train crossing a stone viaduct
dalekohled-noc.png,Noc s dalekohledem,adventure,a child at a telescope under a starry night sky
veterinarka.png,Veterinářka,people,a vet examining a puppy
snezitko.png,Sněžítko,fantasy,a snow globe with a tiny house inside
hrad-z-pisku.png,Hrad z písku,nature,a sandcastle on the beach with a small flag
obri-zelva.png,Obří želva,animals,a giant tortoise walking on grass
mayska-pyramida.png,Mayská pyramida,places,a Mayan step pyramid in the jungle
benatska-maska.png,Benátská maska,people,a person wearing an ornate Venetian carnival mask
cteni-v-kresle.png,Čtení v křesle,everyday,someone curled up in an armchair reading a book
muchomurka.png,Domek z muchomůrky,fantasy,a tiny house built inside a red fly-agaric mushroom
hodinar.png,Hodinář,people,a watchmaker with an eye loupe repairing a pocket watch
ohnostroj.png,Ohňostroj,places,fireworks bursting over a night town
truhla-pokladu.png,Truhla pokladu,fantasy,an open treasure chest full of gold coins
yeti.png,Yeti,fantasy,a shaggy white yeti in a snowy forest
malirka.png,Malířka,people,a woman painting at an easel
provazochodec.png,Provazochodec,people,a tightrope walker high in the air with a balancing pole
vcelar.png,Včelař,people,a beekeeper in a veil holding a honeycomb frame
horska-chata.png,Horská chata,places,a mountain cabin in the snow with a lit window
kral.png,Král na trůně,fantasy,a king on a throne with a crown and sceptre
mimozemstan.png,Setkání s mimozemšťanem,fantasy,a friendly little alien beside a flying saucer at night
skotsky-byk.png,Skotský býk,animals,a shaggy highland bull in a meadow
chobotnice-hlubina.png,Chobotnice,animals,an octopus in the deep sea
cesta-pousti.png,Cesta pouští,adventure,a caravan crossing desert dunes at sunset
pod-hvezdami.png,Pod hvězdami,family,a family lying on a blanket watching the stars
santa.png,Santa,fantasy,Santa Claus with his sack on a snowy roof
pohadkovy-zamek.png,Pohádkový zámek,places,a fairy-tale castle with tall towers on a cliff
podzemi.png,Průzkum podzemí,adventure,cavers exploring an underground cave with lamps
rybar.png,Rybář na molu,people,a fisherman sitting on a wooden pier at dawn
letajici-koberec.png,Létající koberec,fantasy,a flying carpet above desert domes
bonsaj.png,Bonsaj,nature,a bonsai tree in a ceramic pot
lano-nad-kanonem.png,Lano nad kaňonem,adventure,a rope bridge over a deep canyon
morska-zelva.png,Mořská želva,animals,a sea turtle gliding through clear water
rybareni.png,Rybaření,everyday,a child fishing from a river bank
robot-z-krabice.png,Robot z krabice,family,a child wearing a cardboard-box robot costume
svetlusky.png,Světlušky,nature,fireflies glowing in a dark meadow
sochar.png,Sochař,people,a sculptor chiselling a stone bust
stavitel.png,Stavitel z kostek,everyday,a child building a tall tower of wooden blocks
jeskyne-lucerna.png,Jeskyně s lucernou,adventure,a lantern lighting a narrow cave passage
superhrdina.png,Superhrdina,fantasy,a child in a homemade superhero cape on a rooftop
peceni.png,Pečení dortu,family,baking a cake together in a kitchen
drevena-loutka.png,Dřevěná loutka,fantasy,a wooden marionette on strings
houslista.png,Houslista,people,a violinist playing on a stage
klid-v-sede.png,Klid v sedě,feelings,"a person sitting cross-legged with closed eyes, calm"
puzzle-vecer.png,Puzzle,everyday,hands finishing a jigsaw puzzle on a table
hollywood.png,Hollywood,places,spotlights sweeping over a red carpet with old film cameras
letajici-zamek.png,Létající zámek,fantasy,a castle floating in the sky among clouds
vodopad-dzungle.png,Vodopád v džungli,nature,a jungle waterfall falling into a turquoise pool
papirovy-drak.png,Papírový drak,adventure,a child flying a kite on a windy hill
klavir.png,Klavír,people,a pianist at a grand piano
majak-ostrov.png,Maják na ostrově,places,a lighthouse on a small rocky island
hrncirsky-kruh.png,Hrnčířský kruh,everyday,hands shaping clay on a potter's wheel
ustarany.png,Ustaraný,feelings,"a worried boy with both hands covering his mouth, wide eyes"
spadla-zmrzlina.png,Spadlá zmrzlina,feelings,"a dropped ice cream cone on the pavement, a sad child above it"
hadka.png,Hádka,feelings,two children sitting back to back after an argument
lampion-prani.png,Lampion přání,feelings,releasing a glowing paper lantern into the night sky
zlomene-srdce.png,Zlomené srdce,feelings,a paper heart torn in two
odrene-koleno.png,Odřené koleno,everyday,a child with a plaster on a scraped knee
zmeskany-autobus.png,Zmeškaný autobus,everyday,someone running after a departing bus
domaci-ukol.png,Domácí úkol,school,a child doing homework at a desk
pod-dekami.png,Pod dekami,feelings,a child hiding inside a blanket fort
zamotana-sluchatka.png,Zamotaná sluchátka,everyday,badly tangled earphones held in a hand
kolo.png,Kolo,everyday,a bicycle leaning against a fence
tajemne-dvere.png,Tajemné dveře,fantasy,a mysterious glowing door in a dark wall
rozbita-vaza.png,Rozbitá váza,feelings,a broken vase in pieces on the floor
kos-pradla.png,Koš s prádlem,everyday,an overflowing laundry basket
kocka-akvarium.png,Kočka u akvária,animals,a cat staring at a fish tank
sluchatka-hudba.png,Hudba do sluchátek,everyday,a teenager with big headphones lost in music
odchod-s-batohem.png,Odchod s batohem,feelings,a child walking away down a path with a backpack
promin.png,Promiň,feelings,a child offering a picked flower as an apology
darek.png,Dárek,family,hands holding a wrapped gift with a ribbon
objeti.png,Objetí,family,two people hugging warmly
budik.png,Budík,everyday,an alarm clock ringing on a bedside table
uceni-do-noci.png,Učení do noci,school,studying late at night by a desk lamp
houpaci-sit.png,Houpací síť,everyday,a hammock between two trees
strach-ve-tme.png,Strach ve tmě,feelings,a child in bed frightened by a shadow in the dark room
rozsypane-papiry.png,Rozsypané papíry,school,loose papers scattered across the floor
tajemstvi.png,Tajemství,family,two children whispering a secret
trofej.png,Trofej,school,a golden trophy held up high
spatna-znamka.png,Špatná známka,school,a downcast child looking at a test paper marked in red
pozorovani.png,Pozorování dalekohledem,everyday,watching birds through binoculars
uschla-rostlina.png,Uschlá rostlina,nature,a wilted plant in a pot
v-desti.png,V dešti,everyday,walking in the rain under an umbrella
telefon-zprava.png,Zpráva v telefonu,everyday,a phone glowing in a hand with a message bubble on screen
seznam-ukolu.png,Seznam úkolů,school,a checklist on a clipboard with ticked boxes
nerozhodnost.png,Nerozhodnost,feelings,"a child standing at a fork in the path, unsure which way to go"
tablet-ve-tme.png,Světlo displeje,everyday,a face lit by a tablet screen in a dark room
premysleni.png,Přemýšlení,feelings,a person thinking with a hand under the chin
odneseny-destnik.png,Odnesený deštník,everyday,an umbrella blown inside out by the wind
nocni-obloha.png,Noční obloha,nature,the Milky Way over dark hills
pokoj-s-plakaty.png,Vlastní pokoj,everyday,a teenager's room with posters and fairy lights
kocka-a-obrazovka.png,Kočka a obrazovka,animals,a cat sitting on a laptop keyboard
vyhled-na-hory.png,Výhled na hory,nature,a hiker looking out over a mountain panorama
sazeni.png,Sázení,nature,hands planting a seedling in dark soil
svicka-na-dortu.png,Svíčka na dortu,family,a birthday cake with one lit candle
bludiste.png,Bludiště,adventure,a hedge maze seen from above
okno-v-noci.png,Okno v noci,feelings,"a person standing at a window at night, looking out"
rodinna-pizza.png,Rodinná pizza,family,a family sharing a pizza at the table
sbirani-minci.png,Sbírání mincí,everyday,coins collected in a glass jar
fotoaparat.png,Fotoaparát,everyday,an old camera on a leather strap
lahev-s-dopisem.png,Láhev s dopisem,adventure,a bottle with a rolled-up note washed up on the shore
baleni-batohu.png,Balení batohu,everyday,packing a backpack for a trip
paleta-barev.png,Paleta barev,everyday,a painter's palette with fresh paint and brushes
padajici-listi.png,Padající listí,nature,autumn leaves falling in a park
lupa-badatel.png,Badatel s lupou,school,a child examining a leaf through a magnifying glass
dilna-s-hrackami.png,Dílna s hračkami,family,a workshop full of handmade wooden toys
snehulak.png,Sněhulák,nature,a snowman with a scarf and carrot nose
penezenka.png,Peněženka,everyday,an open wallet with a few coins
trezor.png,Trezor,fantasy,a heavy steel safe with a dial
cekani-na-tramvaj.png,Čekání na tramvaj,everyday,waiting at a tram stop in the evening
velka-vlna.png,Velká vlna,nature,a huge curling ocean wave with white foam
sdileni.png,Sdílení,family,two children sharing one sandwich
nuda.png,Nuda,feelings,a bored child lying on the floor staring at the ceiling
tricko.png,Tričko,everyday,a folded t-shirt lying on a bed
horska-draha.png,Horská dráha,adventure,a roller coaster loop with a cart racing through it
astronaut.png,Astronaut,adventure,an astronaut floating above the Earth
ostrov-s-palmou.png,Ostrov s palmou,nature,a tiny island with a single palm tree
pocitani-minci.png,Počítání mincí,everyday,counting coins on a table
nastenka-s-fotkami.png,Nástěnka s fotkami,school,a pin board covered with photographs
bryle-a-kniha.png,Brýle a kniha,everyday,glasses resting on an open book
promoce.png,Promoce,school,a graduate throwing a cap in the air
krabice-prekvapeni.png,Krabice s překvapením,family,a box bursting open with light and confetti
skok-do-louze.png,Skok do louže,everyday,a child in rubber boots jumping into a puddle
kresleni-hvezd.png,Kreslení hvězd,school,a child drawing stars on paper
skok-pres-potok.png,Skok přes potok,adventure,leaping across a forest stream
duha.png,Duha,nature,a rainbow over a wet meadow
uletly-balonek.png,Uletlý balónek,feelings,"a red balloon escaping into the sky, a child watching it"
napad.png,Nápad,feelings,a child with a glowing light bulb above the head
vahy.png,Váhy,school,an old brass balance scale
jednicka.png,Jednička,school,a school exercise book with a big red star drawn on it
zamceno.png,Zamčeno,everyday,a padlock on a closed door
prvni-snih.png,První sníh,nature,the first snowflakes falling on a quiet street
ranni-vstavani.png,Ranní vstávání,everyday,stretching and getting up in the morning light
cesta-do-skoly.png,Cesta do školy,school,children walking to school with backpacks
cisteni-zubu.png,Čištění zubů,everyday,brushing teeth in front of a mirror
snidane.png,Snídaně,family,a breakfast table with cocoa and bread
uklid.png,Úklid,everyday,tidying up a room with a broom
ztracena-hracka.png,Ztracená hračka,feelings,a lost teddy bear lying on a path
nachlazeni.png,Nachlazení,everyday,"a child in bed with a blanket, tea and a red nose"
prochazka-se-psem.png,Procházka se psem,animals,walking a dog in a park
kamaradi-na-lavicce.png,Kamarádi na lavičce,family,two friends sitting together on a bench
deka-a-baterka.png,Deka a baterka,family,a blanket den lit from inside by a torch
nakupovani.png,Nakupování,everyday,pushing a shopping trolley through a store
prvni-den-ve-skole.png,První den ve škole,school,a child standing in a classroom doorway on the first school day
spolecna-fotka.png,Společná fotka,family,a family posing together for a photo
